rank,req_id,title,detail,category,source_urls,notes,validation,gating
Tenderfoot,TF-3,Knots & Woods Tools,"Demonstrate practical uses of the square knot, two half-hitches, and taut-line hitch; demonstrate proper care, sharpening, and use of the pocketknife, saw, and ax and describe when each should be used.",Outdoor Skills,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Tenderfoot-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Tenderfoot,TF-4,First Aid Foundations,"Show first aid for minor injuries (cuts/scrapes, blisters, minor burns/scalds, insect/tick stings, venomous snakebite, nosebleed, frostbite, sunburn, choking); identify hazardous plants and treatment; discuss prevention; assemble a personal first-aid kit.",First Aid,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Tenderfoot-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Tenderfoot,TF-5,Buddy System & Hiking Safety,Explain and use the buddy system; explain what to do if lost; explain safe/responsible hiking rules on highway/cross-country day/night; explain hiking on durable surfaces with examples.,Safety,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Tenderfoot-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Tenderfoot,TF-6,Physical Fitness (baseline → plan → improvement),"Record baseline results (pushups, situps/curl-ups, sit-and-reach, 1-mile walk/run); develop a 30-day improvement plan; show improvement and record results after practice.",Fitness,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Tenderfoot-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""fitness_days_required"": 30}",{}
Tenderfoot,TF-7,Flag Etiquette & Service,"Demonstrate raising, lowering, displaying, and folding the U.S. flag; participate in one hour of Scoutmaster-approved service and explain how it relates to the Scout slogan and motto.",Citizenship,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Tenderfoot-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""service_hours_min"": 1}",{}
Tenderfoot,TF-8,Teaching EDGE,Describe the steps of Teaching EDGE and use EDGE to teach someone how to tie a square knot.,Leadership,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Tenderfoot-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Tenderfoot,TF-9,Scout Spirit,Demonstrate Scout spirit by living the Scout Oath and Law; tell how you have done your duty to God and lived four points of the Law in daily life.,Ideals,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Tenderfoot-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Tenderfoot,TF-10,Scoutmaster Conference,Participate in a Scoutmaster conference while working toward Tenderfoot (after completing Scout rank req 7).,Conferences & Reviews,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Tenderfoot-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},"{""conference_required"": true}"
Tenderfoot,TF-11,Board of Review,Successfully complete a Tenderfoot board of review.,Conferences & Reviews,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Tenderfoot-Rank-Requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},"{""bor_required"": true}"
Second Class,SC2-1,Camping & Outdoor Ethics,Participate in five activities (≥3 outdoors; ≥2 include overnight camping) sleeping in a tent/structure you helped pitch; recite the seven Leave No Trace principles from memory and explain application; recommend a patrol site and explain site selection.,Camping,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-Second-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Second Class,SC2-2,Cooking & Tools,Explain when to use cooking/warming fires; prepare tinder/kindling/fuel and build/light/extinguish a minimum-impact fire where permitted; explain and light a backpacking/propane stove with safety; plan and cook one hot breakfast or lunch with nutrition and food safety; tie sheet bend and bowline and explain uses.,Cooking & Tools,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-Second-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Second Class,SC2-3,Navigation,Show compass use and orient a map; identify five map symbols; complete a 5-mile hike (or 10 miles by bike) using map+compass; describe hike hazards and prevention; demonstrate direction finding without a compass day/night.,Navigation,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-Second-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Second Class,SC2-4,Nature,Identify or show evidence of at least 10 kinds of wild animals in your area or camping location.,Nature,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-Second-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Second Class,SC2-5,Aquatics,Explain safe swim precautions; complete BSA beginner test; demonstrate reaching/throwing rescues; explain why reaching/throwing are preferred over swimming rescues and how to avoid contact.,Aquatics,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-Second-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Second Class,SC2-6,First Aid & Emergency Preparedness,"Demonstrate first aid for specific injuries (object in eye, bites, punctures, serious burns, heat exhaustion, shock, heatstroke, dehydration, hypothermia, hyperventilation); show hurry cases (stopped breathing, stroke, severe bleeding, ingested poisoning); discuss prevention; explain emergencies and calling for help at home/backcountry; explain response to vehicular accident.",First Aid,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-Second-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Second Class,SC2-7,Fitness (4-week activity),"Be physically active at least 30 minutes/day, 5 days/week for 4 weeks; keep a log; share results and plan ahead; participate in a substance-misuse awareness program and discuss with family and leader.",Fitness,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-Second-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""activity_weeks"": 4}",{}
Second Class,SC2-8,Citizenship & Personal Management,Participate in a flag ceremony; explain respect for the U.S. flag; set a savings goal and earning plan with a parent; compare prices at three locations and decide how to spend/save; complete two hours of service and explain relation to Scout Oath.,Citizenship,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-Second-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""service_hours_min"": 2}",{}
Second Class,SC2-9,Personal Safety Awareness,Explain the three R’s of personal safety; describe bullying and appropriate responses.,Safety,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-Second-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Second Class,SC2-10,"Scout Spirit, Conference & Board of Review",Demonstrate Scout spirit; participate in a Scoutmaster conference (after Tenderfoot 10); successfully complete a Second Class board of review.,Conferences & Reviews,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-Second-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},"{""conference_required"": true, ""bor_required"": true}"
First Class,FC-1,Camping & Outdoor Ethics,"Since joining, participate in 10 activities (≥6 outdoors; ≥3 include overnight camping) sleeping in a tent/structure you helped pitch; explain outdoor ethics impacts on the environment and other users.",Camping,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-First-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
First Class,FC-2,Cooking (plan → shop → execute),"Plan menus for three meals (B/L/D) with nutrition; list budget and quantities; show needed cooking gear; demonstrate food handling and waste disposal; on a campout serve as cook, supervise assistants, prepare the meals, and supervise cleanup.",Cooking,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-First-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
First Class,FC-3,Tools: Lashings & Pioneering,"Discuss when to use lashings; tie timber hitch and clove hitch; tie square, shear, and diagonal lashings; build a useful camp gadget or structure.",Outdoor Skills,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-First-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
First Class,FC-4,Navigation: Orienteering & GPS,"Complete a ≥1-mile orienteering course including height/width measurement; demonstrate electronic navigation (GPS/app): find current location, a destination, a route, and follow it.",Navigation,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-First-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
First Class,FC-5,Nature & Weather,"Identify ≥10 native plants; identify two ways to get a weather forecast and why it matters; describe ≥3 natural indicators of hazardous weather and actions to take; describe extreme local weather, risk assessment, alternate plans, and preparation/response.",Nature & Weather,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-First-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
First Class,FC-6,Aquatics,Successfully complete the BSA swimmer test; tell precautions for Safe Trip Afloat; identify boat and paddle/oar parts; describe proper body positioning in a watercraft; demonstrate a line rescue as tender and rescuer (~30 ft).,Aquatics,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-First-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
First Class,FC-7,First Aid & Emergency Preparedness,"Demonstrate bandaging for sprained ankle and for injuries on head, upper arm, and collarbone; show transports from smoke-filled room and a 25-yard assist for a sprained ankle; tell heart attack signals and explain CPR steps; identify building utilities and hazards; develop a home emergency plan for fire, storm, power/water outage; explain obtaining potable water in an emergency.",First Aid,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-First-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
First Class,FC-8,Fitness (4-week activity),"After Second Class 7a, be physically active at least 30 minutes/day, 5 days/week for 4 weeks; keep a log; share challenges/successes and set a goal to continue.",Fitness,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-First-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""activity_weeks"": 4}",{}
First Class,FC-9,Citizenship & Service,Discuss U.S. constitutional rights/obligations with a leader-approved individual; investigate a local environmental issue and share; plan/apply reduce/reuse/recycle between two similar outings and compare results; complete three hours of service (not the same hours used for Tenderfoot/Second Class) and explain relation to the Scout Law.,Citizenship,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-First-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""service_hours_min"": 3}",{}
First Class,FC-10,Recruiting & Scout Spirit,Tell an eligible youth or inactive Scout about Scouting and invite them to an event (or encourage re-engagement) and share efforts; demonstrate Scout spirit (duty to God; four different points of the Law).,Leadership & Ideals,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-First-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
First Class,FC-11,Scoutmaster Conference & Board of Review,Participate in a Scoutmaster conference (after Second Class 11) and successfully complete a First Class board of review.,Conferences & Reviews,"[""https://www.scouting.org/wp-content/uploads/2022/09/2022-First-Class-rank.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},"{""conference_required"": true, ""bor_required"": true}"
Star,STAR-1,Active in unit (4 months as First Class),Be active in your unit for at least four months as a First Class Scout.,Participation,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Star-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""months_active"": 4, ""rank_context"": ""First Class""}",{}
Star,STAR-2,Scout Spirit,Demonstrate Scout spirit by living the Scout Oath and Law in daily life.,Ideals,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Star-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Star,STAR-3,Merit Badges (6 total; ≥4 Eagle-required),Earn six merit badges total (any four from the Eagle-required list).,Merit Badges,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Star-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""mb_total"": 6, ""mb_eagle_min"": 4}",{}
Star,STAR-4,Service (6 hours),Participate in six hours of service (one or more Scoutmaster-approved projects).,Service,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Star-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""service_hours_min"": 6}",{}
Star,STAR-5,Leadership (Position of Responsibility 4 months) OR leadership project,Serve actively for four months in one or more approved positions of responsibility OR complete a Scoutmaster-approved leadership project to help the troop. (Assistant Patrol Leader does not qualify.),Leadership,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Star-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""por_months"": 4}",{}
Star,STAR-6,Personal Safety Awareness (with parent/guardian),"With a parent/guardian, complete the exercises in the Parent’s Guide and view the Personal Safety Awareness videos (or document waiver if no access).",Safety,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Star-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""requires_parent_guardian"": true}",{}
Star,STAR-7,Scoutmaster Conference,Participate in a Scoutmaster conference (not a retest).,Conferences & Reviews,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Star-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},"{""conference_required"": true}"
Star,STAR-8,Board of Review,Successfully complete a Star board of review.,Conferences & Reviews,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Star-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},"{""bor_required"": true}"
Life,LIFE-1,Active in unit (6 months as Star),Be active in your unit for at least six months as a Star Scout.,Participation,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Life-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""months_active"": 6, ""rank_context"": ""Star""}",{}
Life,LIFE-2,Scout Spirit,Demonstrate Scout spirit by living the Scout Oath and Law in daily life.,Ideals,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Life-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},{}
Life,LIFE-3,Merit Badges (11 total; ≥7 Eagle-required),"Earn a total of 11 merit badges (Star + Life), including at least seven from the Eagle-required list.",Merit Badges,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Life-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""mb_total"": 11, ""mb_eagle_min"": 7}",{}
Life,LIFE-4,Service (6 hours; ≥3 conservation),Participate in six hours of service as a Star Scout; at least three hours must be conservation-related.,Service,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Life-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""service_hours_min"": 6, ""service_conservation_min"": 3}",{}
Life,LIFE-5,Leadership (Position of Responsibility 6 months) OR leadership project,Serve actively for six months in approved positions of responsibility OR complete a Scoutmaster-approved leadership project. (Assistant Patrol Leader does not qualify.),Leadership,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Life-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""por_months"": 6}",{}
Life,LIFE-6,Personal Safety Awareness (with parent/guardian),"With a parent/guardian, complete the exercises in the Parent’s Guide and view the Personal Safety Awareness videos (or document waiver if no access).",Safety,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Life-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,"{""requires_parent_guardian"": true}",{}
Life,LIFE-7,Scoutmaster Conference,Participate in a Scoutmaster conference (not a retest).,Conferences & Reviews,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Life-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},"{""conference_required"": true}"
Life,LIFE-8,Board of Review,Successfully complete a Life board of review.,Conferences & Reviews,"[""https://www.scouting.org/wp-content/uploads/2024/01/2024-Life-Rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf""]",,{},"{""bor_required"": true}"
Eagle,EAGLE-1,Active in unit (6 months as Life),Be active in your unit for at least six months as a Life Scout.,Participation,"[""https://www.scouting.org/wp-content/uploads/2024/11/eagle-rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://www.scouting.org/skills/merit-badges/eagle-required/"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf"", ""https://www.scouting.org/programs/scouts-bsa/advancement-and-awards/eagle-scout-workbook/"", ""https://www.scouting.org/wp-content/uploads/2025/01/512-72825-Eagle-Scout-Application.pdf""]",,"{""months_active"": 6, ""rank_context"": ""Life""}",{}
Eagle,EAGLE-2,Scout Spirit,Demonstrate Scout spirit by living the Scout Oath and Law in daily life and explain how they will guide your life.,Ideals,"[""https://www.scouting.org/wp-content/uploads/2024/11/eagle-rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://www.scouting.org/skills/merit-badges/eagle-required/"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf"", ""https://www.scouting.org/programs/scouts-bsa/advancement-and-awards/eagle-scout-workbook/"", ""https://www.scouting.org/wp-content/uploads/2025/01/512-72825-Eagle-Scout-Application.pdf""]",,{},{}
Eagle,EAGLE-3,Merit Badges (21 total; 14 Eagle-required),Earn a total of 21 merit badges including the 14 that are Eagle-required (with three choose-one groups).,Merit Badges,"[""https://www.scouting.org/wp-content/uploads/2024/11/eagle-rank-requirements.pdf"", ""https://www.scouting.org/wp-content/uploads/2025/04/3321624-Scouts-BSA-Requirements.pdf"", ""https://www.scouting.org/skills/merit-badges/eagle-required/"", ""https://filestore.scouting.org/filestore/pdf/33088.pdf"", ""https://www.scouting.org/programs/scouts-bsa/advancement-and-awards/eagle-scout-workbook/"", ""https://www.scouting.org/wp-content/uploads/2025/01/512-72825-Eagle-Scout-Application.pdf""]",,"{""mb_total"": 21, ""mb_eagle_required"": 14, ""choose_one_groups"": [[""Emergency Preparedness"", ""Lifesaving""], [""Environmental Science"", ""Sustainability""], [""Swimming"", ""Hiking"", ""Cycling""]]}",{}
